Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
Eswatini,"70,833",+93,"1,398",+1,"69,010",425,11,"59,916","1,183","1,016,801","860,086"
Fiji,"64,646",0,862,0,"62,791",993,0,"71,167",949,"508,091","559,346"
Madagascar,"64,181",0,"1,391",0,"59,370","3,420",14,"2,213",48,"426,220","14,699"
Guyana,"63,518",+27,"1,228",0,"62,200",90,1,"80,046","1,548","600,940","757,312"
Sudan,"62,135",+18,"4,933",+2,0,0,0,"1,359",108,"562,941","12,311"
New Caledonia,"60,749",0,312,0,"60,231",206,9,"209,094","1,074","98,964","340,627"
Bhutan,"59,358",+84,21,0,"58,856",481,2,"75,404",27,"2,301,399","2,923,525"
Mauritania,"58,699",+4,982,0,"57,700",17,0,"12,044",201,"805,551","165,281"
Belize,"57,561",+26,676,0,"56,654",231,6,"140,095","1,645","542,191","1,319,610"
Cabo Verde,"56,036",+5,401,0,"55,564",71,23,"98,817",707,"400,982","707,113"
Syria,"55,833",+4,"3,150",0,"52,243",440,0,"3,054",172,"146,269","8,001"
Gabon,"47,602",0,304,0,"47,285",13,0,"20,500",131,"1,593,622","686,293"
Papua New Guinea,"43,821",0,650,0,"43,133",38,7,"4,733",70,"249,149","26,912"
Seychelles,"42,474",0,166,0,"41,727",581,0,"427,029","1,669",0,0
Curaçao,"42,241",0,274,0,"41,612",355,3,"255,504","1,657","496,693","3,004,361"
Andorra,"41,717",+368,153,0,"41,021",543,14,"538,339","1,974","249,838","3,224,049"
Burundi,"40,552",0,38,0,773,"39,741",0,"3,234",3,"345,742","27,571"
Mauritius,"37,714",+17,990,0,"36,009",715,0,"29,565",776,"358,675","281,172"
Mayotte,"37,363",0,187,0,"2,964","34,212",0,"131,149",656,"176,919","621,010"
Togo,"36,995",+2,273,0,"36,702",20,0,"4,284",32,"731,516","84,719"
Guinea,"36,459",0,440,0,"35,976",43,8,"2,645",32,"660,107","47,882"
Aruba,"34,846",0,212,0,"34,516",118,3,"323,854","1,970","177,885","1,653,237"
Faeroe Islands,"34,658",0,28,0,"7,693","26,937",5,"704,374",569,"778,000","15,811,723"
Tanzania,"33,872",0,803,0,0,0,7,539,13,0,0
Bahamas,"33,626",+25,798,0,"32,384",444,0,"84,036","1,994","229,817","574,341"
Lesotho,"32,910",0,697,0,"24,155","8,058",0,"15,142",321,"431,221","198,407"
Mali,"30,874",+14,732,0,"29,978",164,0,"1,448",34,"668,249","31,343"
Haiti,"30,703",+6,835,0,"29,555",313,0,"2,634",72,"132,422","11,359"
Isle of Man,"28,416",0,87,0,"26,794","1,535",0,"330,961","1,013","150,753","1,755,821"
Benin,"26,952",0,163,0,"25,506","1,283",5,"2,121",13,"604,310","47,562"
Somalia,"26,485",0,"1,350",0,"13,182","11,953",0,"1,585",81,"400,466","23,971"
Congo,"24,079",0,385,0,"20,178","3,516",0,"4,175",67,"347,815","60,309"
Saint Lucia,"23,538",+56,368,0,"22,953",217,0,"127,118","1,987","143,281","773,793"
Timor-Leste,"22,879",+4,130,0,"22,730",19,0,"16,767",95,"263,136","192,842"
Cayman Islands,"22,828",+605,27,0,"8,553","14,248",1,"340,016",402,"222,773","3,318,136"
Burkina Faso,"20,853",0,382,0,"20,439",32,0,950,17,"248,995","11,341"
Nicaragua,"18,491",0,225,0,"4,225","14,041",0,"2,732",33,0,0
Gibraltar,"17,837",0,102,0,"16,579","1,156",0,"529,712","3,029","534,283","15,866,807"
South Sudan,"17,490",+3,138,0,"13,514","3,838",1,"1,530",12,"385,179","33,686"
Tajikistan,"17,388",0,124,0,"17,264",0,0,"1,751",12,0,0
Liechtenstein,"17,225",+13,84,0,"17,058",83,0,"449,399","2,192","102,174","2,665,710"
San Marino,"16,561",+37,115,0,"16,175",271,4,"486,202","3,376","152,231","4,469,233"
Equatorial Guinea,"15,908",0,183,0,"15,701",24,5,"10,694",123,"316,462","212,746"
Solomon Islands,"15,677",0,141,0,"14,109","1,427",2,"21,841",196,"5,117","7,129"
Djibouti,"15,631",0,189,0,"15,427",15,0,"15,410",186,"305,941","301,609"
Grenada,"14,984",+241,220,0,"14,229",535,4,"132,041","1,939","151,734","1,337,099"
CAR,"14,649",0,113,0,"6,859","7,677",2,"2,939",23,"81,294","16,312"
Bermuda,"13,832",+344,131,0,"13,289",412,0,"223,616","2,118","885,175","14,310,253"
Dominica,"12,161",0,63,0,"12,025",73,0,"168,169",871,"191,084","2,642,421"
Gambia,"11,995",0,365,0,"11,591",39,0,"4,720",144,"155,686","61,265"
Greenland,"11,971",0,21,0,"2,761","9,189",4,"210,198",369,"164,926","2,895,928"
Monaco,"11,869",+45,54,0,"11,672",143,4,"298,569","1,358","54,960","1,382,537"
Yemen,"11,819",0,"2,149",0,"9,009",661,23,381,69,"265,253","8,548"
Tonga,"10,494",0,11,0,"9,255","1,228",0,"97,263",102,"486,186","4,506,187"
Saint Martin,"10,462",0,63,0,"1,399","9,000",7,"262,363","1,580","112,382","2,818,287"
Samoa,"10,210",0,20,0,"1,605","8,585",4,"50,838",100,"73,313","365,043"
Sint Maarten,"10,065",0,86,0,"9,913",66,10,"229,957","1,965","62,056","1,417,807"
Caribbean Netherlands,"9,804",+3,34,0,"9,714",56,0,"367,604","1,275","30,126","1,129,584"
Eritrea,"9,735",+1,103,0,"9,631",1,0,"2,677",28,"23,693","6,515"
Niger,"8,957",+3,309,0,"8,550",98,1,347,12,"250,880","9,719"
Guinea-Bissau,"8,210",+8,171,0,"7,530",509,6,"3,998",83,"134,817","65,658"
Comoros,"8,100",0,160,0,"7,933",7,0,"8,964",177,0,0
Sierra Leone,"7,681",0,125,0,0,0,0,928,15,"259,958","31,416"
Antigua and Barbuda,"7,654",+28,137,+1,"7,464",53,1,"76,989","1,378","18,901","190,118"
Vanuatu,"7,622",+32,14,+1,"7,137",471,3,"23,796",44,"24,976","77,974"
Liberia,"7,434",0,294,0,"5,747","1,393",2,"1,409",56,"139,824","26,503"
Chad,"7,412",0,193,0,"4,874","2,345",0,429,11,"191,341","11,066"
St. Vincent Grenadines,"6,786",0,106,0,"6,641",39,0,"60,814",950,"98,944","886,698"
British Virgin Islands,"6,355",0,62,0,0,0,1,"207,680","2,026","103,049","3,367,614"
Turks and Caicos,"5,995",0,36,0,"5,918",41,4,"151,091",907,"497,269","12,532,613"
Sao Tome and Principe,"5,964",0,73,0,"5,884",7,0,"26,316",322,"29,036","128,123"
Saint Kitts and Nevis,"5,570",+4,43,0,"5,519",8,0,"103,359",798,"70,707","1,312,062"
Cook Islands,"5,229",+29,1,0,"4,990",238,0,"297,204",57,"16,982","965,215"
Palau,"4,690",0,6,0,"4,043",641,1,"256,958",329,"46,722","2,559,829"
St. Barth,"4,544",0,6,0,0,0,0,"457,511",604,"78,646","7,918,445"
Kiribati,"3,089",+5,13,0,"2,601",475,3,"25,152",106,0,0
Anguilla,"2,788",0,9,0,"2,766",13,4,"182,832",590,"51,382","3,369,532"
Saint Pierre Miquelon,"2,701",0,1,0,"2,449",251,1,"470,394",174,"23,446","4,083,246"
Diamond Princess,712,0,13,0,699,0,0,0,0,0,0
Wallis and Futuna,454,0,7,0,438,9,0,"41,736",644,"20,508","1,885,273"
Montserrat,371,+98,2,0,198,171,0,"74,230",400,"10,135","2,027,811"
Falkland Islands,195,+67,0,0,0,0,0,"53,191",0,"8,632","2,354,610"
Macao,82,0,0,0,82,0,0,123,0,"5,375","8,076"
Vatican City,29,0,0,0,29,0,0,"36,025",0,0,0
Marshall Islands,17,0,0,0,14,3,0,284,0,0,0
Western Sahara,10,0,1,0,9,0,0,16,2,0,0
MS Zaandam,9,0,2,0,7,0,0,0,0,0,0
Niue,9,0,0,0,8,1,0,"5,468",0,0,0
Micronesia,7,0,0,0,1,6,0,60,0,0,0
Nauru,5,0,0,0,3,2,0,457,0,0,0
Saint Helena,2,0,0,0,2,0,0,327,0,0,0
