Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
Apr28_2021,38172283,76255,858943,1546,29870473,7442867,17542
Apr29_2021,38252937,79550,860384,1409,29942852,7449701,17517
Apr30_2021,38333344,80406,861870,1485,30028191,7443283,17369
May01_2021,38394578,61233,863130,1272,30118917,7412531,17276
May02_2021,38438978,44400,863840,710,30168855,7406283,17240
May03_2021,38508371,54930,864535,653,30268759,7375077,17255
May04_2021,38565554,55870,865724,1147,30344912,7354918,17290
May05_2021,38631211,65201,867023,1303,30431299,7332889,17272
May06_2021,38697887,66547,868319,1298,30517995,7311573,17160
May07_2021,38765480,67450,869566,1119,30753826,7142088,16920
May07_2021,38765480,67450,869566,1119,30753826,7142088,16920
May08_2021,38815989,50510,870897,1302,30847887,7097205,16782
May09_2021,38851587,35592,871549,658,30893873,7086165,16794
May09_2021,38851587,35592,871549,658,30893873,7086165,16794
May10_2021,38908303,43757,872188,597,30977623,7058492,16588
May11_2021,38956807,48601,873264,1052,31042845,7040698,16575
May12_2021,39010526,53111,874588,1326,31120595,7015343,16529
May13_2021,39068368,57706,875843,1262,31182356,7010169,16430
May14_2021,39129756,57649,877101,1217,31244191,7008464,16180
May15_2021,39171053,39649,878053,902,31642735,6650265,15880
May16_2021,39202748,29494,878683,635,31691722,6632343,15839
May17_2021,39250596,36827,879362,567,31773188,6598046,15671
May18_2021,39290862,40256,880337,976,31838058,6572467,15631
May19_2021,39334211,44511,881396,1076,31897608,6555207,15548
May21_2021,39426913,44570,883553,1066,32025169,6518191,15295
May22_2021,39458588,31675,884340,787,32105545,6468703,14980
May23_2021,39483293,23919,884995,656,32148672,6449626,14909
May24_2021,39522408,28121,885567,510,32221988,6414853,14638
May25_2021,39559160,35224,886602,912,32279450,6393108,14685
May26_2021,39596629,36945,888012,1041,32353622,6354995,14536
May27_2021,39639671,38962,889980,1051,32406174,6343517,14395
May28_2021,39677591,37614,891801,1213,32484131,6301659,14267
May29_2021,39701351,23760,892808,897,32546485,6262058,13973
May30_2021,39718530,17176,893404,597,32578556,6246570,13889
May31_2021,39801648,14212,893881,309,32612795,6294972,13887
Jun01_2021,39836394,24119,894765,502,32701825,6239804,13724
Jun02_2021,39871408,34368,899789,715,32759067,6212552,13628
Jun03_2021,39906081,32047,900833,1027,32809074,6196174,13447
Jun04_2021,39937055,30612,901816,874,32848769,6186470,13286
Jun05_2021,39959718,21915,902121,727,32905410,6152187,13077
Jun06_2021,39974604,14886,902544,424,32932826,6139234,12881
Jun07_2021,40002029,19857,903111,487,32997307,6101611,12775
Jun08_2021,40028497,23714,903635,573,33054331,6070531,12702
Jun09_2021,40063647,27490,904563,928,33103010,6056074,12632
Jun10_2021,40088596,28593,905496,841,33138085,6045015,12441
Jun11_2021,40132865,29715,906570,764,33216389,6009906,12384
Jun12_2021,40153899,21019,907162,683,33258866,5987871,11974
Jun13_2021,40169407,15508,907614,454,33287415,5974378,11963
Jun14_2021,40194488,18172,908013,378,33333868,5952607,11773
Jun15_2021,40222057,22581,908666,531,33488260,5825131,11754
Jun16_2021,40250358,28436,909503,827,33538655,5802200,11694
Jun17_2021,40275328,24491,910103,601,33574445,5790780,11651
Jun18_2021,40305208,27293,910903,714,33622873,5771432,11461
Jun19_2021,40325564,19994,911411,511,33649845,5764308,11293
Jun20_2021,40339840,14006,911800,392,33674702,5753338,11190
Jun21_2021,40364356,17124,912292,375,33745745,5706319,11138
Jun22_2021,40389295,20747,912968,613,33807436,5668891,11087
Jun23_2021,40418073,27469,913843,782,33848858,5655372,11051
Jun24_2021,40448473,27812,914737,832,33884195,5649541,10970
Jun25_2021,40482456,31804,915597,788,33920181,5646678,10959
Jun26_2021,40504100,20768,916218,573,33944594,5643288,10924
Jun27_2021,40521617,16813,916591,385,33967928,5637098,11001
Jun28_2021,40551128,20670,916944,290,34014646,5619538,10985
Jun29_2021,40578274,22716,917581,546,34071643,5589050,10912
Jun30_2021,40607397,29953,918233,632,34100393,5588771,10941
Jul01_2021,40644908,33902,919038,724,34136129,5589741,10896
Jul02_2021,40681738,36434,919964,732,34168534,5593240,10905
Jul03_2021,40706943,24364,920415,428,34194290,5592238,10854
