Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
Feb18_2021,24297551,66204,389049,903,22851712,1056790,22117
Feb19_2021,24365745,68194,389975,926,22920395,1055375,22028
Feb20_2021,24428827,63082,390873,898,22983545,1054409,21997
Feb21_2021,24496501,67674,391641,768,23058490,1046370,21994
Feb22_2021,24564707,68206,392365,724,23124376,1047966,21995
Feb23_2021,24637595,72888,393920,937,23187646,1056029,21861
Feb24_2021,24714493,76898,394787,867,23251275,1068431,21902
Feb25_2021,24790408,75915,395760,973,23318409,1076239,21854
Feb26_2021,24865233,74825,396710,868,23384165,1084358,21843
Feb27_2021,24936012,70779,397552,842,23446293,1092167,21845
Feb28_2021,25004641,68629,398320,768,23515542,1090779,21922
Mar01_2021,25073697,69056,399018,698,23573867,1100812,21924
Mar02_2021,25150611,76914,399853,835,23636035,1114723,21909
Mar03_2021,25231005,80394,400673,820,23703008,1127324,21964
Mar04_2021,25312550,81553,401976,820,23765444,1145130,21973
Mar05_2021,25393699,81242,402728,752,23829224,1161747,22066
Mar06_2021,25471378,77679,403439,711,23892842,1175097,22046
Mar07_2021,25549512,78134,404182,737,23968062,1177268,22241
Mar08_2021,25629358,79867,405023,841,24035246,1189089,22241
Mar09_2021,25711215,81857,405844,821,24108238,1197133,22367
Mar10_2021,25800719,89504,406647,801,24178844,1215228,22393
Mar11_2021,25890460,89757,407473,818,24241444,1241543,22462
Mar12_2021,25987547,97087,408380,907,24316084,1263083,22541
Mar13_2021,26076058,88511,409218,838,24388772,1278068,22666
Mar14_2021,26167734,91676,410005,781,24485834,1271895,22827
Mar15_2021,26262275,94550,410822,817,24566948,1284505,22903
Mar16_2021,26364365,102090,411782,960,24646777,1305806,23042
Mar17_2021,26478354,113989,412674,892,24731524,1334156,23152
Mar18_2021,26598864,120510,413673,999,24815701,1369490,23311
Mar19_2021,26720490,121626,414637,964,24898845,1407008,23404
Mar20_2021,26840876,120386,415548,911,24984121,1441207,23470
Mar21_2021,26966684,125808,416467,919,25082468,1467749,24302
Mar22_2021,27088563,121879,417469,1002,25179149,1491945,24355
Mar23_2021,27222237,133674,418561,1092,25265174,1538502,24059
Mar24_2021,27367776,145539,419686,1118,25356774,1591316,24193
Mar25_2021,27522597,154821,420813,1116,25456712,1645072,24301
Mar26_2021,27678806,156209,421942,1115,25552035,1704829,24516
Mar27_2021,27831439,152633,423124,1182,25646083,1762232,24770
Mar28_2021,27995029,163590,424218,1094,25764660,1806151,25091
Mar29_2021,28149060,154031,425326,1108,25871205,1852529,25195
Mar30_2021,28308912,159861,426625,1299,25980310,1901977,25361
Mar31_2021,28490937,182025,428059,1434,26093551,1969327,25421
Apr01_2021,28689427,198490,429548,1489,26217153,2042726,25674
Apr02_2021,28899959,210532,431163,1615,26329339,2139457,26362
Apr03_2021,29109873,209914,432696,1533,26466213,2210964,26055
Apr04_2021,29335075,225202,434415,1719,26639257,2261403,26300
Apr05_2021,29545965,210890,435845,1430,26771883,2338237,26511
Apr06_2021,29791577,245612,437952,2107,26911645,2441980,26665
Apr07_2021,30056614,265037,439983,2031,27058119,2558512,27020
Apr08_2021,30336921,280238,442021,2038,27248838,2646062,27214
Apr09_2021,30629728,292807,444267,2246,27414168,2771293,27495
Apr10_2021,30919197,289469,446390,2123,27590537,2882270,27822
Apr11_2021,31228189,308992,448640,2250,27807611,2971938,27871
Apr12_2021,31531612,303423,450887,2247,28002311,3078414,28148
Apr13_2021,31863907,332295,453310,2423,28198049,3212548,28355
Apr14_2021,32217050,353131,455816,2505,28404141,3357093,28529
Apr15_2021,32588884,371834,458541,2725,28639160,3491183,28756
Apr16_2021,32977913,388967,461343,2803,28881257,3635313,29001
